New York,,,,,,,,,,,,
"Number of beneficiaries with benefits in current-payment status and total monthly benefits, by field office and ZIP Code, December 2015",,,,,,,,,,,,
Field office and ZIP Code,,,Number,,,,,,"Total monthly benefits
(thousands of dollars)",,,Number of OASDI beneficiaries aged 65 or older
,,,Total,Retired workers,Disabled workers,Widow(er)s and parents,Spouses,Children,All beneficiaries,Retired workers,Widow(er)s and parents,
All areas a,,,"59,963,425","40,089,061","8,909,430","4,190,676","2,477,567","4,296,691","73,642,029","53,790,278","5,194,659","43,243,199"
,10466,,"9,180","6,005","1,665",400,290,820,"10,469","7,613",423,"6,285"
,10467,,"12,500","7,155","2,910",715,435,"1,285","12,945","8,274",715,"7,810"
,10469,,"10,650","7,240","1,625",575,375,835,"12,713","9,390",648,"7,790"
,10470,,"2,400","1,655",330,155,95,165,"3,128","2,349",203,"1,815"
,10475,,"9,715","7,190","1,295",450,225,555,"12,836","9,960",558,"7,490"
"Bronx, North",,,"30,275","17,235","7,005","1,810","1,315","2,910","30,207","19,638","1,830","18,685"
,10453,,"8,905","4,455","2,520",500,380,"1,050","7,557","4,223",444,"4,810"
,10458,,"8,045","4,050","2,190",520,385,900,"7,212","4,082",475,"4,460"
,10468,,"8,315","4,805","1,900",505,375,730,"7,941","5,109",502,"5,150"
,10471,,"5,010","3,925",395,285,175,230,"7,497","6,224",409,"4,265"
"Bronx, South",,,"36,405","19,000","8,840","2,495","1,765","4,305","31,846","18,607","2,217","21,295"
,10451,,"7,535","4,365","1,550",495,315,810,"7,437","4,867",442,"4,805"
,10452,,"8,405","4,440","2,120",510,405,930,"7,113","4,153",448,"4,840"
,10454,,"4,965","2,390","1,235",430,285,625,"4,094","2,176",388,"2,845"
,10455,,"5,230","2,670","1,230",365,315,650,"4,445","2,551",334,"3,060"
,10456,,"10,270","5,135","2,705",695,445,"1,290","8,757","4,860",605,"5,745"
"Bronx, West Farms",,,"15,550","7,930","4,055","1,010",665,"1,890","13,631","7,805",936,"8,790"
,10457,,"8,325","4,280","2,180",510,325,"1,030","7,216","4,144",462,"4,645"
,10460,,"7,225","3,650","1,875",500,340,860,"6,415","3,661",474,"4,145"
"Brooklyn, Bedford Heights",,,"36,995","24,440","6,500","2,040","1,055","2,960","40,677","29,266","2,118","25,845"
,11213,,"8,235","5,265","1,485",475,305,705,"8,556","6,035",488,"5,640"
,11216,,"5,975","3,875","1,150",330,135,485,"6,439","4,505",333,"4,040"
,11225,,"8,115","5,855","1,120",390,230,520,"9,258","7,135",433,"6,110"
,11233,,"8,445","5,000","1,845",510,215,875,"8,778","5,713",506,"5,340"
,11238,,"6,035","4,320",865,325,170,355,"7,429","5,724",349,"4,580"
,11247,,190,125,35,10,0,20,217,154,9,135
"Brooklyn, Boro Hall",,,"69,915","46,875","8,960","5,020","4,145","4,915","81,060","59,536","5,751","52,305"
,11201,,"7,090","5,165",710,355,240,620,"9,853","7,918",446,"5,545"
,11202,,550,390,100,25,10,25,701,526,28,420
,11205,,"4,150","2,555",770,275,145,405,"4,483","3,125",276,"2,740"
,11209,,"11,375","8,070","1,310",855,560,580,"14,999","11,380","1,075","8,935"
,11215,,"6,460","4,675",655,460,335,335,"9,115","7,129",575,"5,185"
,11217,,"4,445","2,790",785,295,200,375,"5,330","3,817",313,"3,125"
,11219,,"8,890","5,805",865,750,825,645,"8,964","6,377",873,"6,890"
,11220,,"10,475","6,845","1,480",640,740,770,"9,215","6,423",605,"7,410"
,11228,,"7,360","5,025",835,565,490,445,"8,829","6,354",719,"5,615"
,11231,,"4,005","2,480",665,360,210,290,"4,734","3,289",407,"2,840"
,11232,,"2,475","1,485",390,205,155,240,"2,377","1,563",207,"1,685"
,11242,,15,10,0,0,0,5,21,17,0,10
,11249,,"2,625","1,580",395,235,235,180,"2,439","1,618",226,"1,905"
"Brooklyn, Bushwick",,,"29,115","16,940","5,785","2,160","1,650","2,580","26,963","17,039","2,001","19,210"
,11206,,"10,000","5,480","2,120",820,575,"1,005","8,930","5,340",731,"6,335"
,11211,,"6,125","3,810",925,510,470,410,"5,696","3,819",502,"4,520"
,11221,,"9,110","5,330","1,970",600,355,855,"9,027","5,757",563,"5,795"
,11237,,"3,880","2,320",770,230,250,310,"3,310","2,123",205,"2,560"
"Brooklyn, Canarsie",,,"28,570","18,040","5,175","1,645",950,"2,760","30,478","21,173","1,695","19,140"
,11212,,"11,910","6,925","2,565",770,350,"1,300","11,732","7,626",735,"7,435"
,11236,,"13,070","8,910","2,005",615,440,"1,100","15,056","11,103",688,"9,205"
,11239,,"3,590","2,205",605,260,160,360,"3,690","2,444",272,"2,500"
"Brooklyn, Cypress Hills",,,"54,775","34,110","9,660","3,460","2,880","4,665","58,221","39,805","3,734","37,380"
,11207,,"11,870","6,740","2,665",655,460,"1,350","11,765","7,478",643,"7,310"
,11208,,"10,700","5,955","2,445",650,450,"1,200","10,096","6,213",622,"6,440"
,11414,,"6,775","4,835",750,540,340,310,"9,401","7,079",723,"5,410"
,11416,,"2,500","1,520",435,175,170,200,"2,481","1,619",181,"1,715"
,11417,,"3,785","2,380",595,290,250,270,"4,214","2,839",338,"2,695"
,11418,,"4,145","2,725",610,235,270,305,"4,493","3,246",257,"2,975"
,11419,,"4,635","3,005",690,285,365,290,"4,501","3,177",269,"3,315"
,11420,,"5,425","3,715",750,315,290,355,"6,052","4,479",336,"4,000"
,11421,,"4,940","3,235",720,315,285,385,"5,218","3,675",365,"3,520"
"Brooklyn, Flatbush",,,"68,195","48,450","8,695","3,575","3,040","4,435","81,623","62,552","4,247","51,745"
,11203,,"12,715","9,540","1,535",420,395,825,"15,105","12,111",459,"9,800"
,11210,,"8,730","6,375",990,395,390,580,"10,937","8,636",495,"6,715"
,11218,,"7,750","5,265","1,035",485,415,550,"9,091","6,788",554,"5,790"
,11226,,"12,960","8,855","2,125",570,465,945,"13,481","9,928",561,"9,215"
,11230,,"10,805","7,610","1,140",730,760,565,"12,957","9,977",902,"8,660"
,11234,,"15,235","10,805","1,870",975,615,970,"20,052","15,112","1,276","11,565"
"Brooklyn, New Utrecht",,,"71,155","49,090","9,255","4,680","4,550","3,580","76,385","55,917","5,484","54,545"
,11204,,"10,370","7,055","1,200",745,910,460,"10,659","7,702",860,"8,020"
,11214,,"13,175","8,925","1,790",865,860,735,"13,390","9,456",990,"9,805"
