ID,applyposition,Base,Annual,signing,expected,skillset,location
318,"APPLY NOW   Principal Data Scientist at Realtor.com in Santa Clara, CA","Base Salary$140K","Annual Bonus$0","Signing Bonus$14K","EXPECTED   $140K","You can learn valuable new skills like: Product Management, Machine Learning, Data Science, Analytics, Statistics, and Leadership.","Jobs in Santa Clara, CA"
319,"APPLY NOW   Data Scientist at Integral Ad Science in New York, NY","Base Salary$108K","Annual Bonus$0","Signing Bonus$13K","EXPECTED   $134K","You can learn valuable new skills like: Hadoop, Data Mining, Information Retrieval, Optimization, Machine Learning, Python and more.","Jobs in New York, NY"
320,"APPLY NOW   Data Scientist at Move, Inc. in Santa Clara, CA","Base Salary$118K","Annual Bonus$0","Signing Bonus$17K","EXPECTED   $118K","You can learn valuable new skills like: Machine Learning, Scala, Time Series Analysis, User Experience, Data Science, Analytics and more.","Jobs in Santa Clara, CA"
321,"APPLY NOW   Senior Data Scientist at Nordstrom in Seattle, WA","Base Salary$121K","Annual Bonus$20K","Signing Bonus$17K","EXPECTED   $155K","You can learn valuable new skills like: Hadoop, Optimization, Algorithms, Machine Learning, AWS, Python and more.","Jobs in Seattle, WA"
322,"APPLY NOW   Data Scientist at Counsyl in South San Francisco, CA","Base Salary$121K","Annual Bonus$0","Signing Bonus$18K","EXPECTED   $145K","You can learn valuable new skills like: Machine Learning, Python, Data Science, and Statistics.","Jobs in South San Francisco, CA"
323,"APPLY NOW   Data Scientist at Intuit in Woodland Hills, CA","Base Salary$112K","Annual Bonus$20K","Signing Bonus$14K","EXPECTED   $146K","You can learn valuable new skills like: Big Data, Algorithms, Machine Learning, Data Science, SQL, Analytics and more.","Jobs in Woodland Hills, CA"
324,"APPLY NOW   Data Scientist - Advertising Product and Platforms at Spotify in New York, NY","Base Salary$96K","Annual Bonus$0","Signing Bonus$11K","EXPECTED   $146K","You can learn valuable new skills like: Python, Data Science, SQL, Analytics, and Statistics.","Jobs in New York, NY"
325,"APPLY NOW   Principal, Data Scientist - Digital at Comcast in Philadelphia, PA","Base Salary$128K","Annual Bonus$15K","Signing Bonus$9K","EXPECTED   $143K","You can learn valuable new skills like: Hadoop, Data Mining, Big Data, Algorithms, MapReduce, Machine Learning and more.","Jobs in Philadelphia, PA"
326,"APPLY NOW   Senior Software Development Engineer - Data Services at Zillow in Irvine, CA","Base Salary$110K","Annual Bonus$0","Signing Bonus$18K","EXPECTED   $133K","You can learn valuable new skills like: Software Design, Optimization, Architectures, REST, Python, C and more.","Jobs in Irvine, CA"
327,"APPLY NOW   Senior Data Scientist at Aetna in Wellesley, MA","Base Salary$112K","Annual Bonus$15K","Signing Bonus$14K","EXPECTED   $127K","You can learn valuable new skills like: Hadoop, Big Data, Algorithms, Machine Learning, Data Science, Analytics and more.","Jobs in Wellesley, MA"
